id_clientes,mes,idade,profissao,salario_anual,num_contas,num_cartoes,juros_emprestimo,num_emprestimos,dias_atraso,idade_historico_credito,investimento_mensal,comportamento_pagamento,saldo_final_mes,score_credito,emprestimo_carro,emprestimo_casa,emprestimo_pessoal,emprestimo_credito,emprestimo_estudantil
77889901,3,32.0,medico,100000.43,4.0,4.0,2.2,3.0,11.0,6.0,2200.76,alto_gasto_pagamento_baixos,4200.89,Good,1,1,0,1,1
11223346,2,28.0,professor,55000.54,2.0,3.0,1.6,2.0,9.0,6.0,1600.32,bom,900.65,Poor,1,1,0,1,0
55667789,1,30.0,estudante,25000.21,1.0,1.0,1.0,0.0,0.0,3.0,310.98,ruim,180.43,Standard,0,0,0,0,0
88990012,3,35.0,advogado,120000.65,3.0,4.0,2.1,4.0,14.0,7.0,2100.32,bom,4900.54,Standard,1,1,0,1,0
22334456,2,26.0,tecnico,48000.43,2.0,2.0,1.4,1.0,6.0,4.0,1250.21,bom,850.76,Good,0,1,1,1,0
66778890,3,31.0,enfermeiro,40000.54,2.0,2.0,1.3,1.0,5.0,3.0,980.76,regular,700.43,Standard,0,0,1,0,0
99001123,1,26.0,engenheiro,75000.78,3.0,3.0,1.7,2.0,10.0,6.0,1800.32,alto_gasto_pagamento_baixos,3500.65,Good,1,1,1,1,0
33445567,2,34.0,professor,58000.32,2.0,3.0,1.5,2.0,7.0,5.0,1350.98,bom,920.21,Poor,0,1,1,1,0
66778801,3,29.0,analista,50000.43,1.0,2.0,1.2,1.0,6.0,4.0,850.65,bom,750.32,Good,0,0,1,1,0
99001124,1,33.0,engenheiro,68000.76,3.0,3.0,1.6,2.0,10.0,6.0,1600.21,alto_gasto_pagamento_baixos,3200.45,Good,1,1,0,1,0
33445568,2,27.0,professor,58000.43,2.0,3.0,1.4,1.0,7.0,5.0,1350.76,bom,850.98,Poor,0,1,1,1,0
66778891,3,31.0,medico,95000.54,4.0,4.0,2.0,3.0,12.0,6.0,2000.32,excelente,4200.65,Good,1,1,0,1,1
99001125,1,26.0,estudante,22000.65,1.0,1.0,1.0,0.0,0.0,3.0,280.43,ruim,120.21,Standard,0,0,0,0,0
33445569,2,37.0,advogado,115000.32,3.0,4.0,2.2,4.0,13.0,7.0,2250.65,bom,4800.76,Poor,1,1,0,1,0
66778892,3,29.0,tecnico,50000.54,2.0,3.0,1.5,1.0,7.0,4.0,1450.98,bom,920.32,Good,0,1,1,1,0
99001126,1,30.0,enfermeiro,40000.76,2.0,2.0,1.3,1.0,6.0,3.0,980.32,regular,650.98,Poor,0,0,1,0,0
33445570,2,33.0,engenheiro,72000.32,3.0,3.0,1.7,2.0,9.0,5.0,1750.76,alto_gasto_pagamento_baixos,3800.21,Good,1,1,1,1,0
66778893,3,36.0,professor,60000.54,2.0,3.0,1.6,2.0,8.0,6.0,1650.32,bom,3100.98,Good,1,1,0,1,0
